Descriptor, Frame0, Frame1, Frame2, Frame3, Frame4, Frame5, Frame6, Frame7, Frame8, Frame9, Total, Average
HARRIS-BRIEF, 0, 0, 2, 4, 4, 7, 5, 6, 6, 8, 42, 4.2
HARRIS-ORB, 0, 0, 3, 5, 4, 4, 5, 3, 10, 8, 42, 4.2
HARRIS-FREAK, 0, 0, 3, 3, 3, 3, 4, 2, 8, 10, 36, 3.6
HARRIS-AKAZE, 0, 0, 3, 4, 4, 0, 7, 5, 8, 10, 41, 4.1
HARRIS-SIFT, 0, 0, 3, 4, 3, 5, 9, 4, 8, 10, 46, 4.6
FAST-BRIEF, 0, 0, 256, 237, 248, 226, 245, 256, 263, 241, 1972, 197.2
FAST-ORB, 0, 0, 230, 220, 222, 224, 227, 246, 237, 237, 1843, 184.3
FAST-FREAK, 0, 0, 195, 163, 177, 156, 177, 191, 171, 178, 1408, 140.8
FAST-AKAZE, 0, 0, 272, 248, 264, 247, 271, 266, 244, 267, 2079, 207.9
FAST-SIFT, 0, 0, 326, 301, 316, 294, 328, 319, 304, 302, 2490, 249
BRISK-BRIEF, 0, 0, 160, 129, 140, 146, 153, 157, 158, 145, 1188, 118.8
BRISK-ORB, 0, 0, 119, 106, 104, 108, 116, 119, 116, 124, 912, 91.2
BRISK-FREAK, 0, 0, 121, 110, 113, 99, 126, 136, 129, 130, 964, 96.4
BRISK-AKAZE, 0, 0, 95, 94, 78, 84, 105, 91, 91, 98, 736, 73.6
BRISK-SIFT, 0, 0, 187, 172, 177, 169, 190, 193, 173, 181, 1442, 144.2
ORB-BRIEF, 0, 0, 38, 37, 53, 42, 60, 57, 61, 60, 408, 40.8
ORB-ORB, 0, 0, 63, 55, 62, 64, 74, 74, 76, 76, 544, 54.4
ORB-FREAK, 0, 0, 33, 38, 41, 33, 40, 42, 40, 43, 310, 31
ORB-AKAZE, 0, 0, 36, 32, 38, 34, 37, 57, 43, 33, 310, 31
ORB-SIFT, 0, 0, 79, 78, 79, 82, 93, 94, 93, 92, 690, 69
AKAZE-BRIEF, 0, 0, 116, 110, 107, 116, 128, 133, 134, 128, 972, 97.2
AKAZE-ORB, 0, 0, 92, 99, 83, 97, 113, 108, 111, 116, 819, 81.9
AKAZE-FREAK, 0, 0, 103, 93, 99, 97, 111, 124, 115, 112, 854, 85.4
AKAZE-AKAZE, 0, 0, 123, 122, 114, 116, 131, 137, 135, 133, 1011, 101.1
AKAZE-SIFT, 0, 0, 134, 129, 136, 136, 147, 147, 153, 149, 1131, 113.1
SIFT-BRIEF, 0, 0, 70, 61, 65, 52, 58, 70, 70, 84, 530, 53
SIFT-ORB, 0, 0, 66, 63, 76, 67, 63, 63, 85, 81, 564, 56.4
SIFT-FREAK, 0, 0, 61, 51, 62, 50, 51, 47, 52, 65, 439, 43.9
SIFT-AKAZE, 0, 0, 62, 74, 86, 78, 69, 70, 95, 83, 617, 61.7
SIFT-SIFT, 0, 0, 79, 81, 91, 92, 78, 82, 102, 99, 704, 70.4
