Detector-Descriptor, Frame0, Frame1, Frame2, Frame3, Frame4, Frame5, Frame6, Frame7, Frame8, Frame9, Total, Average
HARRIS-BRIEF detection, 10.7002, 10.008, 9.57244, 10.1501, 9.20553, 9.75138, 9.37296, 11.0647, 9.46537, 9.37818, 98.6689, 9.86689
HARRIS-BRIEF matching, 0.188983, 0.560669, 0.577772, 0.57233, 0.578983, 0.621036, 0.548544, 0.59595, 0.565337, 0.571725, 5.38133, 0.538133
HARRIS-BRIEF combined, 10.8892, 10.5687, 10.1502, 10.7224, 9.78452, 10.3724, 9.9215, 11.6606, 10.0307, 9.9499, 104.05, 10.405
HARRIS-ORB detection, 9.40049, 9.89125, 10.0473, 10.063, 9.48721, 9.96015, 9.99094, 9.74007, 9.92101, 9.83252, 98.3339, 9.83339
HARRIS-ORB matching, 2.67216, 2.63211, 2.63414, 2.55847, 2.79467, 2.5538, 2.54915, 2.64048, 2.63902, 2.65036, 26.3244, 2.63244
HARRIS-ORB combined, 12.0727, 12.5234, 12.6815, 12.6214, 12.2819, 12.5139, 12.5401, 12.3806, 12.56, 12.4829, 124.658, 12.4658
HARRIS-FREAK detection, 9.54224, 9.43593, 6.78584, 6.82448, 6.79964, 7.41044, 7.03265, 6.82586, 6.7209, 6.87322, 74.2512, 7.42512
HARRIS-FREAK matching, 29.3815, 26.9059, 26.907, 26.9248, 26.9749, 27.0125, 26.9617, 26.9687, 26.8039, 27.141, 271.982, 27.1982
HARRIS-FREAK combined, 38.9237, 36.3418, 33.6928, 33.7493, 33.7745, 34.4229, 33.9944, 33.7946, 33.5248, 34.0142, 346.233, 34.6233
HARRIS-AKAZE detection, 6.71599, 8.00353, 9.64212, 7.58188, 6.85535, 6.94256, 8.14654, 8.76771, 8.24964, 9.0471, 79.9524, 7.99524
HARRIS-AKAZE matching, 30.1496, 24.9241, 28.0305, 28.5022, 23.1412, 23.7736, 27.6024, 26.7658, 26.7676, 27.8992, 267.556, 26.7556
HARRIS-AKAZE combined, 36.8656, 32.9277, 37.6726, 36.084, 29.9965, 30.7161, 35.749, 35.5335, 35.0172, 36.9463, 347.509, 34.7509
HARRIS-SIFT detection, 9.62844, 8.13045, 7.00784, 6.80525, 6.73825, 7.08045, 7.30179, 6.7712, 6.90083, 6.8254, 73.1899, 7.31899
